"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2015","20,650","20,600","20,825","20,450","2.56M","-0.60%"
"03/13/2015","20,775","21,150","21,150","20,550","2.01M","0.12%"
"03/12/2015","20,750","21,075","21,075","20,700","2.80M","-0.84%"
"03/11/2015","20,925","21,225","21,325","20,825","3.63M","-1.99%"
"03/10/2015","21,350","20,625","21,500","20,300","3.18M","3.52%"
"03/09/2015","20,625","21,400","21,450","20,625","3.84M","-5.17%"
"03/06/2015","21,750","21,775","21,825","21,575","3.85M","-0.11%"
"03/05/2015","21,775","21,725","21,950","21,650","2.32M","0.58%"
"03/04/2015","21,650","22,000","22,000","21,400","7.35M","-2.59%"
"03/03/2015","22,225","21,850","22,350","21,675","10.47M","2.77%"
"03/02/2015","21,625","20,900","21,725","20,750","6.78M","4.22%"
"02/27/2015","20,750","20,400","21,025","20,400","10.14M","3.75%"
"02/26/2015","20,000","20,100","20,250","19,950","5.09M","-0.50%"
"02/25/2015","20,100","19,750","20,100","19,750","4.13M","2.03%"
"02/24/2015","19,700","19,250","19,750","19,200","3.53M","2.47%"
"02/23/2015","19,225","19,250","19,275","19,050","2.35M","0.39%"
"02/20/2015","19,150","19,100","19,275","19,075","1.98M","-0.65%"
"02/18/2015","19,275","19,200","19,500","19,050","2.61M","1.45%"
"02/17/2015","19,000","18,500","19,075","18,500","1.26M","1.33%"
"02/16/2015","18,750","19,300","19,300","18,600","3.53M","-1.06%"
"02/13/2015","18,950","18,650","18,950","18,550","3.69M","1.88%"
"02/12/2015","18,600","18,325","18,700","18,325","2.48M","0.13%"
"02/11/2015","18,575","18,475","18,675","18,300","2.61M","0.68%"
"02/10/2015","18,450","18,150","18,500","18,100","1.91M","1.79%"
"02/09/2015","18,125","18,500","18,575","18,075","1.98M","-2.03%"
"02/06/2015","18,500","18,175","18,500","18,050","3.43M","2.78%"
"02/05/2015","18,000","17,700","18,000","17,675","2.85M","-0.14%"
"02/04/2015","18,025","18,075","18,200","17,950","3.11M","0.70%"
"02/03/2015","17,900","17,700","17,950","17,675","1.47M","1.70%"
"02/02/2015","17,600","17,600","18,075","17,525","2.02M","-1.68%"
"01/30/2015","17,900","18,200","18,200","17,600","4.01M","-1.65%"
"01/29/2015","18,200","18,200","18,200","18,050","2.52M","0.00%"
"01/28/2015","18,200","18,150","18,275","18,050","1.86M","0.00%"
"01/27/2015","18,200","18,200","18,225","18,050","1.92M","0.83%"
"01/26/2015","18,050","17,850","18,275","17,800","5.35M","0.98%"
"01/23/2015","17,875","17,800","17,875","17,750","4.90M","1.42%"
"01/22/2015","17,625","17,150","17,725","17,150","4.54M","2.77%"
"01/21/2015","17,150","17,300","17,300","17,050","1.73M","0.15%"
"01/20/2015","17,125","17,050","17,225","16,925","1.49M","0.44%"
"01/19/2015","17,050","17,100","17,225","17,025","1.54M","-1.16%"
